Agency,Fund,FY15 Mayors Proposed Budget
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,1706.74
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,1720.29
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,1846.69
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,1954.01
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,2075
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,2246.17
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,2253.3
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,2258.35
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,2284.09
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,2452.78
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,2500
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,2500
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,2566.61
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,2662.45
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,3000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,3200
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,3200
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,3444.07
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,3447.42
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,3594.28
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,3762.95
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,3897.62
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,3961.65
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,4000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,4000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,4162.6
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,4284.07
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,4375
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,4519.52
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,4676.29
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,4689.24
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,4939.43
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,5000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,5000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,5227.18
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,5363.57
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,5487.94
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,5500
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,5559.53
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,5559.53
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,6000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,6000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,6000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,6130.2
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,6300.32
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,6400
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,7000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,7000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,7192.55
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,7288.78
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,7500
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,7548.63
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,7548.63
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,7738.69
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,7939.46
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,8051.36
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,8250
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,8700
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,8741.67
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,9000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,9286.05
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,9294.47
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,9799.17
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,9965.49
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,9999.61
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,10000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,10000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,10000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,10000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,10000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,10000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,10000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,10000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,10000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,10000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,10000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,10000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,10000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,10000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,10009.11
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,10086.06
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,10677.52
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,11000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,11322.96
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,11322.96
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,11662.3
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,12000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,12417.55
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,12450
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,12831.52
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,13174.57
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,13198.94
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,13198.94
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,13240.06
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,13574.35
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,13620.69
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,13675.17
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,14542.28
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,14814.55
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,14972.64
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,15000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,15000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,15000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,15000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,15000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,15000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,15000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,15000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,15000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,15000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,15000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,15000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,15000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,15001.65
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,15097.27
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,15485.89
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,16000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,16167.18
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,16462.19
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,17000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,17202.25
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,17673.1
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,18000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,18412.96
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,18468.99
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,19250.42
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,20000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,20000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,20000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,20000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,20000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,20000
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,20000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,20338.46
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,20500
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,20563.13
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,20572.63
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,20577.35
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,21000
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,21913.21
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,22155.98
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,22298.43
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,22323.98
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,22830.29
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,23520.86
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,23680.97
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,24000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,24500
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,24652.87
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,24821.76
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,25000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,25000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,25000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,25000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,25000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,25000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,25000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,25000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,25000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,25000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,25000
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,25000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,25046.25
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,25630
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,25875
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,26080.43
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,26569.85
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,26643.4
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,26656.68
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,26805
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,27271
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,27318.83
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,28684.83
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,28684.83
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,29573.67
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,30000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,30000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,30000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,30000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,30851.98
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,31000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,31528.46
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,32000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,32688.53
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,33100
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,33162.6
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,33485.27
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,33500
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,34231.16
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,34850.76
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,35000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,35000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,35000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,35135.79
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,35664.79
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,36000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,36162.49
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,37531.49
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,38081.24
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,38784.86
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,39257.35
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,39434
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,39822.08
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,40000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,40000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,40561.44
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,40610.85
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,41216.67
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,41500
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,43142.59
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,44000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,44291.28
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,45000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,45000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,45000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,45079.87
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,45232.04
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,45945.85
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,47767.36
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,49272.12
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,49750.24
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,50000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,50000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,50000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,50000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,50000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,50000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,50000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,50000
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,50000
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,50000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,50000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,50000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,50593.36
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,50630.83
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,51000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,51128.41
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,51443.04
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,51564.47
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,51606.75
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,51606.75
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,51606.75
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,51963.85
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,53000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,53977.68
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,54780.11
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,55000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,55057.47
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,55374
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,56000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,56017.59
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,56054.76
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,56642.35
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,57712.2
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,58000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,58459.94
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,58805.1
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,59778.05
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,60000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,60499.95
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,61698
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,61698
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,61698
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,61698
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,61698
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,61698
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,61698
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,61698
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,63391.33
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,63583.26
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,64000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,64551.52
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,65000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,67700
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,67830
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,68809
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,69507.22
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,70000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,70000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,73608.92
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,74322.07
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,74994
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,74994
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,75000
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,75000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,76500
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,76880
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,77127
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,77569.72
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,79481.23
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,80000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,82626.6
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,83986.84
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,84169.72
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,85071.82
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,85236.62
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,85265.26
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,85467.07
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,86233.66
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,87988
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,89556.66
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,90000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,90000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,91817.6
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,91858.94
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,93636.65
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,97500
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,97592.52
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,97662.63
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,100000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,100000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,100000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,100000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,100000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,100000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,100000
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,100000
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,100000
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,100000
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,100000
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,100000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,100322.39
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,103484.63
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,103989.03
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,104937.43
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,106032.7
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,107000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,110000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,110000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,111771.62
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,115229
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,116000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,116835.99
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,117500
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,121942.35
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,123396
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,123396
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,123396
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,123396
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,124085.18
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,124506.89
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,125000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,125258.82
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,125788.01
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,125886.3
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,126000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,126840.8
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,127052.76
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,128000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,128000
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,130000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,132000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,133641.24
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,133893
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,134000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,134550.96
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,136180.54
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,136253.21
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,138324.82
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,140073.11
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,140112.88
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,140179.15
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,140423.1
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,141032.75
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,142805.46
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,148009.4
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,150000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,150000
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,150000
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,150000
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,150000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,152090.39
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,152109
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,158194.94
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,160000
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,160000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,162982
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,162982
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,167147
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,168500
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,173962.28
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,174734.28
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,175479.75
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,180000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,180000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,185094
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,185094
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,185094
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,185094
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,186497.57
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,194832.66
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,195000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,199635.17
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,199939
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,200000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,200000
